id,mms_id,call_number,title,date_acquired,Author,Publisher,Publication Date,Subjects
31154069010468,9998789669307876,DS186 .C66 1970,Kostandin Tsiranatsin /,2026-03-20,"Constantine VII Porphyrogenitus, Emperor of the East, 905-959.",Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1970.,"Basil--I,--Emperor of the East,--approximately 812-886.; Constantine--VII Porphyrogenitus,--Emperor of the East,--905-959.; Armenia--History--428-1522--Sources.; Byzantine Empire--History--527-1081--Sources.; Emperors--Byzantine Empire--Biography.; Education of princes--Byzantine Empire.; Basil--I,--Emperor of the East,--approximately 812-886; Constantine--VII Porphyrogenitus,--Emperor of the East,--905-959; Education of princes; Emperors; Armenia; Byzantine Empire; 428-1522; History; Biographies; Sources; Biographies.; Byzantine Empire.; Arménie--Histoire--428-1522--Sources.; Empire byzantin--Histoire--527-1081--Sources.; Empereurs--Empire byzantin--Biographies."
31154069010476,9998789669207876,BX129.N48 H35 1964,Nerses Shnorhali /,2026-03-20,"Hakobyan, G. A. 1907-1981. (Grigor Arshaki),",Haykakan SSṚ KA Hrat,1964.,"Nersēs,--Shnorhali, Saint,--1102-1173.; Nersēs,--Shnorhali, Saint,--1102-1173; Armenia (region)"
31154069010484,9998789669107876,GB239.G4 K3 1965,Fiziko-geograficheskai͡a kharakteristika okrestnosteĭ Tbilisi /,2026-03-20,"Kavrishvili, K. V. (Ketevan Vissarionovna)",Met͡sniereba = Mecʻniereba,1965.,Physical geography--Georgia (Republic)--Tʻbilisi.; Physical geography; Georgia (Republic); Tbilisi.; Géographie physique--Géorgie (République)
31154069010492,9998789669007876,DS162 .B95 1967,Prokopios Kesaratsʻi /,2026-03-20,Procopius.,Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1967.,Armenia--History--428-640.; Armenia--History--Sources.; Armenia; 428-640; History; Sources; Armenia (region); Arménie--Histoire--428-640.; Arménie--Histoire--Sources.
31154069010500,9998787943107876,PK8002. A34 1966,Erker /,2026-03-20,"Abeghyan, Manuk, 1865-1944, author.",Haykakan SSʹH GA Hratarakchʻutʻyun,1966-1985.,"Armenian philology.; Armenian language--Grammar.; Armenian literature--History and criticism.; Armenian language.; Armenian (language); Armenian language--Grammar; Armenian literature; Armenian philology; Criticism, interpretation, etc.; Literary criticism.; Armenia (region); Critiques littéraires.; Armenia--History--Sources.; Armenia--History--To 428.; Armenia--History.; Philologie arménienne.; Arménien (Langue)--Grammaire.; Littérature arménienne--Histoire et critique.; Arménien (Langue)"
31154069010518,9998787943107876,PK8002. A34 1966,Erker /,2026-03-20,"Abeghyan, Manuk, 1865-1944, author.",Haykakan SSʹH GA Hratarakchʻutʻyun,1966-1985.,"Armenian philology.; Armenian language--Grammar.; Armenian literature--History and criticism.; Armenian language.; Armenian (language); Armenian language--Grammar; Armenian literature; Armenian philology; Criticism, interpretation, etc.; Literary criticism.; Armenia (region); Critiques littéraires.; Armenia--History--Sources.; Armenia--History--To 428.; Armenia--History.; Philologie arménienne.; Arménien (Langue)--Grammaire.; Littérature arménienne--Histoire et critique.; Arménien (Langue)"
31154069010526,9998789668907876,DS175 .H39,Hay zhoghovrdi patmutʻyun /,2026-03-20,,Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1970-1984.,Armenia--History.; Armenia (Republic)--History.; Armenia.; Arménie--Histoire.; Arménie--Histoire--1991-
31154069010534,9998789668807876,HD951.A7 P35,Kalvatsagrer /,2026-03-20,"Pʻapʻazyan, H. D.",Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1968.,Church lands--Armenia.; Deeds--Armenia.; Church lands; Deeds; Armenia; Matenadaran.; Terres d'Église--Arménie.; Actes formalistes--Arménie.
31154069010542,9998789668707876,DS181 .J67 1976,"Hovsepos Pʻlavios, Dion Kassios /",2026-03-20,"Josephus, Flavius.",Haykakan SSH GA Hratarakchʻutʻyun,1976.,Armenia--History--To 428--Sources.; Armenia; To 428; History; Sources; Armenia (region); Arménie--Histoire--Jusqu'à 428--Sources.
31154069010559,9998789668607876,DK511.G44 B47 1967,Berżeni mcerlebis cʻnobebi Sakʻartʻvelos šesaxeb /,2026-03-20,,"""Mecʻniereba """,1967-<1987>,Georgia (Republic)--History--Historiography.--To 1801; Georgia (Republic)--History--To 1801--Sources.; Historiography; Georgia (Republic); To 1801; Sources; History; Georgia.; Géorgie (République)--Histoire--Historiographie.--Jusqu'à 1801; Géorgie (République)--Histoire--Jusqu'à 1801--Sources.
31154069010567,9998789668907876,DS175 .H39,Hay zhoghovrdi patmutʻyun /,2026-03-20,,Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1970-1984.,Armenia--History.; Armenia (Republic)--History.; Armenia.; Arménie--Histoire.; Arménie--Histoire--1991-
31154069010575,990028566520107904,PA3339 .Z45,Zeitschrift für Papyrologie und Epigraphik.,2026-03-20,,Rudolf Habelt Verlag GMBH,1967-,"Manuscripts (Papyri)--Periodicals.; Inscriptions; Manuscripts, Greek (Papyri); Manuscripts (Papyri); Periodicals; Periodicals.; Papyri.; Inscripties.; Oudheid.; Greek philology--Periodicals.; Inscriptions--Periodicals.; Manuscripts, Greek (Papyri)--Periodicals.; Papyrus (Manuscrits)--Périodiques.; Papyrus grecs--Périodiques.; Inscriptions--Périodiques."
31154069010583,9998789466807876,DS156.P38 C64 2017,Perge batı Nekropolis mezar buluntuları : 1997-2007 yılları arasında 169 numaralı parselde yürütülen çalışmalar /,2026-03-20,"Çokay-Kepçe, Sedef, author.",Ege Yayınları,2017.,Perga (Extinct city); Excavations (Archaeology)--Turkey--Perga (Extinct city); Turkey--Antiquities.; Antiquities; Excavations (Archaeology); Turkey; Turkey--Perga (Extinct city); Perge.; Perge (Ville ancienne); Fouilles (Archéologie)--Turquie--Perge (Ville ancienne); Turquie--Antiquités.
31154069010591,9998789466707876,BS2615.6.J44 N86 2021,John and anti-Judaism : reading the Gospel in light of Greco-Roman culture /,2026-03-20,"Numada, Jonathan, author.",Pickwick Publications,[2021],"Bible. John Criticism, interpretation, etc.; Jews in the New Testament.; Jews--Mediterranean Region--History--To 70 A.D.; Jews--Rome--History--168 B.C.-135 A.D.; Judaism--Relations--Christianity.; Christianity and other religions--Judaism.; Bible. John; Jews in the New Testament; Jews; Judaism; Interfaith relations; Christianity; Rome (Empire); Mediterranean Region; To 135; History; Criticism, interpretation, etc.; Roman Empire.; Judaïsme--Relations--Christianisme.; Christianisme--Relations--Judaïsme.; Juifs dans le Nouveau Testament.; Juifs--Rome--Histoire--168 av. J.-C.-135."
31154069010609,9998789466607876,BS1199.E35 E25 2023,Economics and empire in the ancient Near East /,2026-03-20,,Cascade Books,[2023],"Bible. Old Testament Criticism, interpretation, etc.; Economics in the Bible.; Economics--Religious aspects.; Jews--History--To 70 A.D.; Middle East--Religion.; Bible. Old Testament; Economics in the Bible; Economics--Religious aspects; Jews; Religion--Economic aspects; Middle East; To 70; Criticism, interpretation, etc.; History; Middle East.; Économie politique dans la Bible.; Économie politique--Aspect religieux.; Juifs--Histoire--Jusqu'à 70."
31154069010617,9998789668907876,DS175 .H39,Hay zhoghovrdi patmutʻyun /,2026-03-20,,Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1970-1984.,Armenia--History.; Armenia (Republic)--History.; Armenia.; Arménie--Histoire.; Arménie--Histoire--1991-
31154069010633,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010641,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010658,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010666,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010674,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010682,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010690,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010708,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010716,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010724,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010732,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154069010740,9998789465507876,PJ4150 .S374 2022,A grammar of Ugaritic /,2026-03-20,"Screnock, John, author.",SBL Press,[2022],Ugaritic language--Grammar.; Ugaritic language--Grammar; Grammars.; Leukos Limen.; Ougaritique (Langue)--Grammaire.
31154069010757,9998789465407876,BT1390 .G49375 2020,Gnostic countercultures : terror and intrigue /,2026-03-20,,Brill,[2020],Gnosticism--Congresses.; Gnosticism; Conference papers and proceedings; Gnosticisme.; Gnose.; Eastern Mediterranean.; Gnosticisme--Congrès.
